,REF_DATE,GEO,DGUID,"Census metropolitan areas and census agglomerations, by population centres and rural areas (718)",Coordinate,"Population and land area (2): Population, 2021 [1]",Symbols,"Population and land area (2): Land area in square kilometres, 2021 [2]",Symbols.1
15,2021,Canada,2021A000011124,Barrie,1.16,212856,,897.26,
25,2021,Canada,2021A000011124,Belleville - Quinte West,1.26,111184,,1337.5,
33,2021,Canada,2021A000011124,Brantford,1.34,144162,,1074.0,
39,2021,Canada,2021A000011124,Brockville,1.4,31661,,576.87,
74,2021,Canada,2021A000011124,Centre Wellington,1.75,31093,,409.41,
80,2021,Canada,2021A000011124,Chatham-Kent,1.81,104316,,2464.52,
97,2021,Canada,2021A000011124,Cobourg,1.98,20519,,22.41,
100,2021,Canada,2021A000011124,Collingwood,1.101,24811,,33.15,
108,2021,Canada,2021A000011124,Cornwall,1.109,61415,,509.21,
161,2021,Canada,2021A000011124,Elliot Lake,1.162,11372,,696.06,
164,2021,Canada,2021A000011124,Essa,1.165,22970,,279.92,
194,2021,Canada,2021A000011124,Greater Sudbury / Grand Sudbury,1.195,170605,,4187.4,
204,2021,Canada,2021A000011124,Guelph,1.205,165588,,595.08,
216,2021,Canada,2021A000011124,Hamilton,1.217,785184,,1373.15,
221,2021,Canada,2021A000011124,Hawkesbury,1.222,12010,,12.91,
227,2021,Canada,2021A000011124,Ingersoll,1.228,13693,,12.73,
239,2021,Canada,2021A000011124,Kawartha Lakes,1.24,79247,,3033.66,
250,2021,Canada,2021A000011124,Kenora,1.251,14967,,211.65,
258,2021,Canada,2021A000011124,Kingston,1.259,172546,,1919.17,
262,2021,Canada,2021A000011124,Kitchener - Cambridge - Waterloo,1.263,575847,,1092.33,
289,2021,Canada,2021A000011124,London,1.29,543551,,2661.48,
306,2021,Canada,2021A000011124,Midland,1.307,27894,,60.75,
355,2021,Canada,2021A000011124,Norfolk,1.356,67490,,1597.68,
366,2021,Canada,2021A000011124,North Bay,1.367,71736,,5314.85,
373,2021,Canada,2021A000011124,Orillia,1.374,33411,,28.53,
376,2021,Canada,2021A000011124,Oshawa,1.377,415311,,903.25,
381,2021,Canada,2021A000011124,Ottawa - Gatineau,1.382,1488307,,8046.99,
403,2021,Canada,2021A000011124,Owen Sound,1.404,32712,,624.18,
409,2021,Canada,2021A000011124,Pembroke,1.41,23814,,553.4,
416,2021,Canada,2021A000011124,Petawawa,1.417,18160,,164.7,
419,2021,Canada,2021A000011124,Peterborough,1.42,128624,,1508.44,
428,2021,Canada,2021A000011124,Port Hope,1.429,17294,,278.8,
515,2021,Canada,2021A000011124,Sarnia,1.516,97592,,1117.2,
529,2021,Canada,2021A000011124,Sault Ste. Marie,1.53,76731,,802.58,
551,2021,Canada,2021A000011124,St. Catharines - Niagara,1.552,433604,,1397.09,
570,2021,Canada,2021A000011124,Stratford,1.571,33232,,30.02,
595,2021,Canada,2021A000011124,Thunder Bay,1.596,123258,,2550.79,
598,2021,Canada,2021A000011124,Tillsonburg,1.599,18615,,22.2,
601,2021,Canada,2021A000011124,Timmins,1.602,41145,,2955.33,
605,2021,Canada,2021A000011124,Toronto,1.606,6202225,,5902.75,
666,2021,Canada,2021A000011124,Wasaga Beach,1.667,24862,,57.42,
681,2021,Canada,2021A000011124,Windsor,1.682,422630,,1803.17,
709,2021,Canada,2021A000011124,Woodstock,1.71,46705,,56.46,
